# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

vitamin B6 degradation|PWY-5499|||0.097777784|0.5555556|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5499
L-proline biosynthesis III|PWY-3341|L-proline Biosynthesis|PROLINE-SYN|0.116772704|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3341
cholesterol degradation to androstenedione II (cholesterol dehydrogenase)|PWY-6946|Cholesterol Degradation|Cholesterol-Degradation|0.12048469|0.5882353|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6946
fatty acid beta-oxidation II (peroxisome)|PWY-5136|||0.13559033|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5136
L-carnitine degradation II|PWY-3602|Carnitine Degradation|CARN-DEG|0.14104629|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3602
PRPP biosynthesis II|PWY0-661|PRPP Biosynthesis|PRPP-Biosynthesis|0.14104629|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-661
propanoyl-CoA degradation II|PWY-7574|||0.14113244|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7574
folate transformations I|PWY-2201|Folate Transformations|Folate-Transformations|0.15912797|1.0833334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2201
thiamine salvage I|PWY-6896|||0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6896
