#
#  putidacyc 19.5 Pathways link table generated on Tue Jun 21, 2016
#
PWY-6997	furfural degradation	
PWY0-1299	arginine dependent acid resistance	
PWY-901	methylglyoxal degradation II	glyoxalase pathway	methylglyoxal catabolism
PWY-5386	methylglyoxal degradation I	
DETOX1-PWY-1	reactive oxygen species degradation	removal of superoxide radicals
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Interconversion of L-aspartate and L-asparagine
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
TRNA-CHARGING-PWY	tRNA charging	
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	vitamin H biosynthesis
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	superpathway of thiamine diphosphate biosynthesis (E .coli)	superpathway of vitamin B<sub>1</sub> biosynthesis (E .coli)
PWY-6895	superpathway of thiamine diphosphate biosynthesis II	superpathway of thiamine diphosphate biosynthesis (Bacillus)	superpathway of vitamin B<sub>1</sub> biosynthesis (Bacillus)
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	vitamin B<sub>6</sub> biosynthesis and salvage
AMMASSIM-PWY	ammonia assimilation cycle III	ammonia assimilation III	GS/GOGAT pathway
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
PWY-6947	superpathway of cholesterol degradation II (cholesterol dehydrogenase)	
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	
PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	
PWY-6125	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	
PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	
PWY-6126	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
PWY0-381	glycerol and glycerophosphodiester degradation	
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	
PWY-6285	superpathway of fatty acids biosynthesis (<i>E. coli</i>)	
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	&gamma;-amino-butyrate shunt	GABA degradation
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	&beta;-ketoadipate pathway
PWY-5417	catechol degradation III (ortho-cleavage pathway)	&beta;-ketoadipate pathway
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-7208	superpathway of pyrimidine nucleobases salvage	
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	superpathway of ubiquinone-8 biosynthesis (prokaryotic)
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (<i>E. coli</i>)	
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	
PWY0-1325	superpathway of L-asparagine biosynthesis	
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	
DENOVOPURINE2-PWY	superpathway of purine nucleotides <i>de novo</i> biosynthesis II	
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	
THRESYN-PWY	superpathway of L-threonine biosynthesis	
PWY-3001	superpathway of L-isoleucine biosynthesis I	
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis	
PWY18UU-2	ED-EMP cycle	
HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine biosynthesis by sulfhydrylation
PWY-6151	<i>S</i>-adenosyl-L-methionine cycle I	SAM cycle	activated methyl cycle	AMC
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	
P542-PWY	choline-<i>O</i>-sulfate degradation	choline sulfate degradation
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	
PWY0-41	allantoin degradation IV (anaerobic)	
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	L-arginine dihydrolase pathway	L-arginine deiminase degradation
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-6339	syringate degradation	
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
PWY-5705	allantoin degradation to glyoxylate III	
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	
