MONOMER18UU-165	G18UU-22961			
G18UU-22960-MONOMER	G18UU-22960		ATP synthase protein I	
G18UU-22959-MONOMER	G18UU-22959		ATP synthase subunit a	
G18UU-22958-MONOMER	G18UU-22958		ATP synthase subunit c	
G18UU-22957-MONOMER	G18UU-22957		ATP synthase subunit b	
G18UU-22956-MONOMER	G18UU-22956		ATP synthase subunit delta	
G18UU-22955-MONOMER	G18UU-22955		ATP synthase subunit alpha	
G18UU-22954-MONOMER	G18UU-22954		ATP synthase gamma chain	
G18UU-22953-MONOMER	G18UU-22953		ATP synthase subunit beta	
G18UU-22952-MONOMER	G18UU-22952		ATP synthase epsilon chain	
G18UU-22951-MONOMER	G18UU-22951		N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase	
G18UU-22950-MONOMER	G18UU-22950		Transcriptional regulator, DeoR family	
G18UU-22949-MONOMER	G18UU-22949		L-glutamine/D-fructose-6-phosphate aminotransferase	
G18UU-22948-MONOMER	G18UU-22948		conserved protein of unknown function	
G18UU-22947-MONOMER	G18UU-22947		Transposition protein, TnsD-related protein	
G18UU-22946-MONOMER	G18UU-22946		transposase	
G18UU-22945-MONOMER	G18UU-22945		transposase	
G18UU-22944-MONOMER	G18UU-22944		Transposition protein, TnsC-related protein	
G18UU-22943-MONOMER	G18UU-22943		conserved protein of unknown function	
G18UU-22942-MONOMER	G18UU-22942		conserved protein of unknown function	
G18UU-22941-MONOMER	G18UU-22941		protein of unknown function	
G18UU-22940-MONOMER	G18UU-22940		deacetylase of acetyl-CoA synthetase, NAD-dependent	
G18UU-22939-MONOMER	G18UU-22939		protein of unknown function	
G18UU-22938-MONOMER	G18UU-22938		conserved protein of unknown function	
G18UU-22937-MONOMER	G18UU-22937		conserved protein of unknown function	
G18UU-22936-MONOMER	G18UU-22936		conserved protein of unknown function	
G18UU-22935-MONOMER	G18UU-22935		transposase	
G18UU-22934-MONOMER	G18UU-22934		transposase	
G18UU-22933-MONOMER	G18UU-22933		transposase	
G18UU-22932-MONOMER	G18UU-22932		conserved protein of unknown function	
G18UU-22931-MONOMER	G18UU-22931		conserved protein of unknown function	
G18UU-22930-MONOMER	G18UU-22930		conserved protein of unknown function	
G18UU-22928-MONOMER	G18UU-22928		putative metal-binding chaperone	
G18UU-22927-MONOMER	G18UU-22927		conserved hypothetical protein containing WD40/YVTN repeat domain	
G18UU-22926-MONOMER	G18UU-22926		conserved hypothetical protein	
G18UU-22925-MONOMER	G18UU-22925		conserved hypothetical protein	
G18UU-22924-MONOMER	G18UU-22924		conserved hypothetical protein	
G18UU-22923-MONOMER	G18UU-22923		conserved hypothetical protein	
G18UU-22922-MONOMER	G18UU-22922		conserved hypothetical protein	
G18UU-22921-MONOMER	G18UU-22921		probable exported copper efflux protein	
G18UU-22920-MONOMER	G18UU-22920		probable copper efflux transporter, CzcA family	
G18UU-22919-MONOMER	G18UU-22919		Probable copper RND efflux membrane fusion protein, CzcB family	
G18UU-22918-MONOMER	G18UU-22918		metal RND efflux outer membrane protein, CzcC family	
G18UU-22917-MONOMER	G18UU-22917		putative metal-binding protein	
G18UU-22916-MONOMER	G18UU-22916		copper sensor protein	
G18UU-22915-MONOMER	G18UU-22915		transcriptional activator protein	
G18UU-22914-MONOMER	G18UU-22914		putative exported protein	
G18UU-22913-MONOMER	G18UU-22913		hypothetical protein	
G18UU-22912-MONOMER	G18UU-22912		copper resistance protein A	
G18UU-22911-MONOMER	G18UU-22911		putative metal-binding protein	
G18UU-22910-MONOMER	G18UU-22910		copper resistance protein B	
G18UU-22909-MONOMER	G18UU-22909		putative metal-binding protein	
G18UU-22908-MONOMER	G18UU-22908		conserved hypothetical protein	
G18UU-22907-MONOMER	G18UU-22907		conserved exported protein of unknown function	
G18UU-22906-MONOMER	G18UU-22906		Transcriptional regulator, LysR family	
G18UU-22905-MONOMER	G18UU-22905		Choline/carnitine/betaine transporter family protein	
G18UU-22904-MONOMER	G18UU-22904		Rieske 2Fe-2S family protein	
G18UU-22903-MONOMER	G18UU-22903		Aldehyde dehydrogenase	
G18UU-22902-MONOMER	G18UU-22902		Rubredoxin/rubredoxin reductase	
G18UU-22901-MONOMER	G18UU-22901		Oxidoreductase-related protein	
G18UU-22900-MONOMER	G18UU-22900		Major facilitator family transporter	
G18UU-22899-MONOMER	G18UU-22899		Transketolase domain protein	
G18UU-22898-MONOMER	G18UU-22898		dihydrolipoyl dehydrogenase	
G18UU-22897-MONOMER	G18UU-22897		putative fatty acid methyltransferase	
G18UU-22896-MONOMER	G18UU-22896		Cardiolipin synthase 1	
G18UU-22895-MONOMER	G18UU-22895		conserved exported protein of unknown function	
G18UU-22894-MONOMER	G18UU-22894		conserved exported protein of unknown function	
G18UU-22893-MONOMER	G18UU-22893		47 kDa protein	
G18UU-22892-MONOMER	G18UU-22892		conserved protein of unknown function	
G18UU-22891-MONOMER	G18UU-22891		CobW/P47K family protein	
G18UU-22890-MONOMER	G18UU-22890		conserved protein of unknown function	
G18UU-22889-MONOMER	G18UU-22889		Pyridoxamine kinase	
G18UU-22888-MONOMER	G18UU-22888		Protein VdlD	
G18UU-22887-MONOMER	G18UU-22887		putative Sodium/proton antiporter	
G18UU-22886-MONOMER	G18UU-22886		conserved protein of unknown function	
G18UU-22885-MONOMER	G18UU-22885		conserved exported protein of unknown function	
G18UU-22884-MONOMER	G18UU-22884		DNA-dependent ATPase I and helicase II, nucleotide Excision Repair Complex	
G18UU-22883-MONOMER	G18UU-22883		glucose-6-phosphate 1-dehydrogenase	
G18UU-22882-MONOMER	G18UU-22882		Transcriptional regulator, RpiR family	
G18UU-22881-MONOMER	G18UU-22881		conserved protein of unknown function	
G18UU-22880-MONOMER	G18UU-22880		Transcriptional regulator, LysR family	
G18UU-22879-MONOMER	G18UU-22879		pyruvate carboxylase subunit A	
G18UU-22878-MONOMER	G18UU-22878		pyruvate carboxylase subunit B	
G18UU-22877-MONOMER	G18UU-22877		Acetyltransferase, GNAT family	
G18UU-22876-MONOMER	G18UU-22876		Acetyltransferase	
G18UU-22875-MONOMER	G18UU-22875		putative Transcriptional regulator	
G18UU-22874-MONOMER	G18UU-22874		Transcriptional regulator, GntR family	
G18UU-22873-MONOMER	G18UU-22873		putrescine-binding periplasmic protein	
G18UU-22872-MONOMER	G18UU-22872		Acetylpolyamine aminohydrolase	
G18UU-22871-MONOMER	G18UU-22871		transcriptional regulator, ornithine utilization	
G18UU-22870-MONOMER	G18UU-22870		aspartate ammonia-lyase	
G18UU-22869-MONOMER	G18UU-22869		LysR family transcriptional regulator	
G18UU-22868-MONOMER	G18UU-22868		N5-carboxyaminoimidazole ribonucleotide mutase	
G18UU-22867-MONOMER	G18UU-22867		N5-carboxyaminoimidazole ribonucleotide synthase	
G18UU-22866-MONOMER	G18UU-22866		conserved membrane protein of unknown function	
G18UU-22865-MONOMER	G18UU-22865		conserved exported protein of unknown function	
G18UU-22864-MONOMER	G18UU-22864		conserved protein of unknown function	
G18UU-22863-MONOMER	G18UU-22863		Long-chain acyl-CoA thioester hydrolase	
G18UU-22862-MONOMER	G18UU-22862		Major facilitator family transporter	
G18UU-22861-MONOMER	G18UU-22861		putative phosphate ABC transporter, periplasmic phosphate-binding protein	
G18UU-22860-MONOMER	G18UU-22860		putative phosphate transport system permease protein	
G18UU-22859-MONOMER	G18UU-22859		putative phosphate ABC transporter, permease subunit	
G18UU-22858-MONOMER	G18UU-22858		phosphate ABC transporter ATP-binding protein	
